101.492		99.1093		99.5379
201.407		103.105		98.5379
197.429		202.846		100.537
97.5141		198.85		101.537
102.571		97.1542		199.463
202.486		101.15		198.463
198.508		200.891		200.462
98.5927		196.895		201.462
103.014		98.2896		99.0434
202.674		106.286		97.125
194.753		205.571		101.156
95.0927		197.574		103.075
105.247		94.429		198.844
204.907		102.426		196.925
196.986		201.71		200.957
97.3259		193.714		202.875
104.561		97.5425		98.5176
203.798		109.538		95.764
191.978		208.17		101.856
92.7407		196.175		104.61
108.022		91.8298		198.143
207.259		103.825		195.39
195.439		202.457		201.482
96.2019		190.462		204.236
106.131		96.8694		97.9619
204.777		112.853		94.4578
189.108		210.638		102.636
90.4629		194.655		106.14
110.892		89.362		197.364
209.537		105.345		193.86
193.869		203.131		202.038
95.223		187.147		205.542
107.721		96.2717		97.3774
205.609		116.224		93.2091
186.152		212.969		103.492
88.264		193.018		107.661
113.848		87.0305		196.508
211.736		106.982		192.339
192.279		203.728		202.623
94.3908		183.776		206.791
109.327		95.7505		96.7655
206.293		119.643		92.0204
183.115		215.16		104.425
86.1485		191.267		109.17
116.885		84.8399		195.575
213.851		108.733		190.83
190.673		204.25		203.235
93.7069		180.357		207.98
110.945		95.3067		96.1276
206.828		123.105		90.8941
180.003		217.206		105.43
84.1207		189.407		110.664
119.997		82.7945		194.57
215.879		110.593		189.336
189.055		204.693		203.872
93.1725		176.895		209.106
112.573		94.9412		95.4651
207.212		126.601		89.8325
176.823		219.102		106.507
82.1848		187.442		112.14
123.177		80.8984		193.493
217.815		112.558		187.86
187.427		205.059		204.535
92.7883		173.399		210.168
114.207		94.6547		94.7795
207.445		130.124		88.8378
173.582		220.845		107.653
80.3446		185.376		113.595
126.418		79.1554		192.347
219.655		114.624		186.405
185.793		205.345		205.221
92.555		169.876		211.162
115.844		94.4476		94.0724
207.527		133.666		87.9118
170.287		222.431		108.866
78.6038		183.213		115.026
129.713		77.5687		191.134
221.396		116.787		184.974
184.156		205.552		205.928
92.4728		166.334		212.088
117.48		94.3202		93.3452
207.458		137.221		87.0566
